
05-20 22:09:35.486  Sending ACTION_BATTERY_CHANGED: level:86, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4160, temperature:305, online:1, charging_status:0, cycle_count:0, current_avg:-36, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3193710, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:22:19.424  Sending ACTION_BATTERY_CHANGED: level:90, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4180, temperature:297, online:1, charging_status:0, cycle_count:0, current_avg:-350, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3371550, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:25:50.556  Sending ACTION_BATTERY_CHANGED: level:90, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4102, temperature:300, online:1, charging_status:0, cycle_count:0, current_avg:-404, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3345615, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:26:20.719  Sending ACTION_BATTERY_CHANGED: level:90, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4180, temperature:306, online:1, charging_status:0, cycle_count:0, current_avg:-397, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3345615, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:27:21.048  Sending ACTION_BATTERY_CHANGED: level:89, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4179, temperature:306, online:1, charging_status:0, cycle_count:0, current_avg:-412, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3334500, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:31:52.527  Sending ACTION_BATTERY_CHANGED: level:88, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4065, temperature:312, online:1, charging_status:0, cycle_count:0, current_avg:-564, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3297450, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:32:22.697  Sending ACTION_BATTERY_CHANGED: level:88, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4166, temperature:311, online:1, charging_status:0, cycle_count:0, current_avg:-310, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3293745, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:32:52.852  Sending ACTION_BATTERY_CHANGED: level:88, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4072, temperature:312, online:1, charging_status:0, cycle_count:0, current_avg:-646, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3290040, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:33:45.066  Sending ACTION_BATTERY_CHANGED: level:88, status:2, health:2, remain:1219, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4156, temperature:313, online:19, charging_status:0, cycle_count:0, current_avg:-187, ps:false, hvc:true, current_event:0x40000000, mcc:0, mcv:0, cc:3282630, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:33:45.115  Sending ACTION_BATTERY_CHANGED: level:88, status:2, health:2, remain:1219, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4156, temperature:313, online:19, charging_status:0, cycle_count:0, current_avg:-187, ps:false, hvc:true, current_event:0x40000004, mcc:0, mcv:0, cc:3282630, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:33:45.196  Sending ACTION_BATTERY_CHANGED: level:88, status:2, health:2, remain:1219, ac:true, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:1, charger_type:1, voltage:4156, temperature:313, online:19, charging_status:0, cycle_count:0, current_avg:-207, ps:false, hvc:true, current_event:0x4, mcc:0, mcv:0, cc:3282630, present:true, scale:100, technology:Li-ion, protection:0
